situation,answer,wrong1,wrong2,hint,similar1,similar2,similar3
"""나 이번 시험에서 100점을 받았어!""","""시험에서 100점을 받았다니 정말 대단해!""","""시험 점수는 별로 중요하지 않아.""","""100점이 뭐가 대단해?""",시험에서 좋은 점수를 받았다는 건 열심히 노력한 결과를 인정받은 거야. 친구가 지금 느끼는 감정은 자부심과 기쁨이야. 그러니까 친구의 노력과 성과를 인정해주는 말이 좋아.,"""100점을 받다니 정말 자랑스러워!""",“공부 진짜 열심히 했네!”,"""시험에서 높은 점수를 받아서 정말 멋져!"""
"""오늘 생일 선물로 내가 원하던 자전거를 받았어!""","""생일 선물로 원하는 걸 받아서 정말 좋겠다!""","""그럼 나 주는 거야?""","""그냥 걷는 게 더 좋아.""",원하는 선물을 받았다는 건 큰 기쁨과 만족감을 주는 일이야. 친구가 지금 느끼는 감정은 행복과 흥분이야. 그래서 친구의 기쁨을 함께 나누고 축하해주는 말이 좋아.,"""자전거랑 완전 잘 어울려""","""원하는 걸 받아서 정말 행복하겠다!""","""선물이 정말 멋지다!"""
"""나 운동회에서 1등 했어!""","""운동회에서 1등하다니 정말 멋져!""","""1등 하는 게 뭐가 중요해?""","""다른 사람들이 못했을 거야.""","운동회에서 1등을 했다는 건 많은 노력이 필요하고, 좋은 성과를 얻었다는 뜻이야. 친구가 느끼는 감정은 성취감과 자부심이야. 따라서 친구의 성과를 칭찬해주는 말이 좋겠지.","""운동회에서 1등해서 기쁘겠다!""","""어떤 종목에서 1등한 거야?""","""1등이라 정말 대단하다!"""
"""나 그림 대회에서 상 받았어!""","""너가 그림 대회에서 상을 받아서 자랑스러워!""","""상 받는 게 무슨 의미가 있어?""","""그림을 잘 그릴 필요는 없어.""",그림 대회에서 상을 받았다는 건 예술적인 재능과 노력이 인정받았다는 거야. 친구가 느끼는 감정은 자부심과 기쁨이야. 그래서 친구의 재능과 성과를 칭찬하는 말이 적절해.,"""그림을 진짜 잘 그리는 구나!""","""그림 대회에서 수상까지 하다니 정말 멋져!""","""그림 대회에서 수상까지 하다니 정말 멋져!"""
"""가족과 함께 여행 다녀왔어!""","""가족 여행이라니 정말 재밌겠다!""","""가족이랑 여행가면 재미없겠다.""","""그냥 집에 있었으면 더 좋았을 텐데.""",가족과 함께 여행을 다녀온 건 특별한 추억을 만든 일이야. 친구가 느끼는 감정은 즐거움과 행복이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""가족과 함께 있어서 행복했겠다!""","""어디로 여행 다녀왔어?""","""가족 여행이어서 더 좋았겠어!"""
"""나 오늘 좋아하는 연예인을 만났어!""","""좋아하는 연예인을 만나서 정말 행복했겠다!""","""연예인을 만나는 게 뭐가 대단해?""","""그 사람이 그렇게 특별해?""",좋아하는 연예인을 만난 건 큰 기쁨과 행복을 주는 일이야. 친구가 느끼는 감정은 기쁨과 설렘이야. 그래서 그 감정을 함께 느끼고 공감하는 말이 좋아.,"""연예인을 만나서 정말 기뻤겠다!""","""좋아하는 사람을 만나서 행복했겠다!""","""연예인 실제로 보니까 어땠어?"""
"""나 새로운 친구를 사귀었어!""","""새 친구를 사귀어서 정말 기쁘겠다!""","“걔도 너를 친구로 생각한대?""","""나만으론 부족해?""",새로운 친구를 사귀는 건 즐겁고 신나는 일이야. 친구가 느끼는 감정은 기쁨과 설렘이야. 따라서 친구의 사교성과 새로운 친구를 만드는 기쁨을 칭찬하는 말이 좋아.,"""역시 너는 사교성이 좋구나!""","""새로운 친구가 생기다니 어떤 사람이야?""","""새 친구를 만들어서 정말 좋았겠다!"""
"""나 오늘 생일 파티 열었어!""","""생일 파티에서 맛있는 거 많이 먹었어?""","""그래서 생일 선물 달라고?""","""다른 날에도 파티 열 수 있잖아.""",생일 파티를 열었다는 건 특별한 날을 축하하고 즐거움을 나누는 일이야. 친구가 느끼는 감정은 기쁨과 행복이야. 그래서 그 기쁨을 함께 나누고 축하하는 말이 좋아.,"“다음 생일 파티에는 나도 꼭 갈게!""","""생일 파티에서 소원 빌었어?""","""생일 파티 열어서 행복했겠다!"""
"""나 학교 연극에서 주인공 맡았어!""","""연극 주인공이 되어서 정말 멋져!""","""주인공이 그렇게 하고 싶었어?""","""다른 역할 하는 사람은 슬프겠다.""",학교 연극에서 주인공 역할을 맡는 건 큰 성취와 영광이야. 친구가 느끼는 감정은 자부심과 기쁨이야. 그래서 그 성취를 칭찬하고 격려하는 말이 좋아.,"""주인공이 되어서 진짜 기쁘겠다!""","""연극 주인공이라서 자랑스러워!""","""너가 원하던 역할을 해서 다행이야!"""
"""나 발표 진짜 잘하지 않았어?!""","""너 진짜 말 잘하더라 멋있었어!""","""말하는 거 잘 들리지도 않더라”","""지금 이게 잘했다고 생각해?""",발표를 잘한다는 건 많은 연습과 노력이 필요해. 친구가 느끼는 감정은 성취감과 자부심이야. 따라서 그 성취를 칭찬하고 격려하는 말이 좋아.,"""발표도 잘하다니 대단하다!""","""발표도 잘하다니 대단하다!""","""언제부터 연습한 거야? 대단하다!!"""
